2018-04-25 19:35:49 INFO     Coordinates : 40 ,51 - Gaze : left up
2018-04-25 19:35:49 INFO     Coordinates : 41 ,50 - Gaze : down
2018-04-25 19:35:49 INFO     Coordinates : 40 ,50 - Gaze :
2018-04-25 19:35:49 INFO     Coordinates : 42 ,52 - Gaze :
2018-04-25 19:35:49 INFO     Coordinates : 40 ,52 - Gaze :
2018-04-25 19:35:49 INFO     Coordinates : 42 ,54 - Gaze :
2018-04-25 19:35:50 INFO     Coordinates : 40 ,53 - Gaze : down
2018-04-25 19:35:50 INFO     Coordinates : 39 ,50 - Gaze : down
2018-04-25 19:35:50 INFO     Coordinates : 42 ,54 - Gaze :
2018-04-25 19:35:50 INFO     Coordinates : 39 ,51 - Gaze : down
2018-04-25 19:35:50 INFO     Coordinates : 36 ,48 - Gaze : down
2018-04-25 19:35:50 INFO     Coordinates : 38 ,50 - Gaze :
2018-04-25 19:35:50 INFO     Coordinates : 41 ,51 - Gaze :
2018-04-25 19:35:50 INFO     Coordinates : 39 ,52 - Gaze :
2018-04-25 19:35:50 INFO     Coordinates : 39 ,51 - Gaze : down
2018-04-25 19:35:51 INFO     Coordinates : 40 ,51 - Gaze :
2018-04-25 19:35:51 INFO     Coordinates : 38 ,49 - Gaze : down
2018-04-25 19:35:51 INFO     Coordinates : 40 ,54 - Gaze :
2018-04-25 19:35:51 INFO     Coordinates : 39 ,54 - Gaze :
2018-04-25 19:35:51 INFO     Coordinates : 40 ,53 - Gaze : down
2018-04-25 19:35:51 INFO     Coordinates : 38 ,49 - Gaze : down
2018-04-25 19:35:51 INFO     Coordinates : 42 ,52 - Gaze :
2018-04-25 19:35:51 INFO     Coordinates : 40 ,55 - Gaze :
2018-04-25 19:35:52 INFO     Coordinates : 43 ,55 - Gaze :
2018-04-25 19:35:52 INFO     Coordinates : 42 ,49 - Gaze : down
2018-04-25 19:35:52 INFO     Coordinates : 44 ,56 - Gaze :
2018-04-25 19:35:52 INFO     Coordinates : 45 ,57 - Gaze :
2018-04-25 19:35:52 INFO     Coordinates : 39 ,55 - Gaze : right down
2018-04-25 19:35:52 INFO     Coordinates : 41 ,54 - Gaze : down
2018-04-25 19:35:53 INFO     Coordinates : 41 ,53 - Gaze : down
2018-04-25 19:35:53 INFO     Coordinates : 43 ,55 - Gaze :
2018-04-25 19:35:53 INFO     Coordinates : 38 ,52 - Gaze : right down
